# -------------------------------------------------------;;;;;;;;;
# App: com.ichi2.anki, date: 20141212-20150112;;;;;;;;;
# -------------------------------------------------------;;;;;;;;;
;;;;;;;;;
date;language;current_device_installs;daily_device_installs;daily_device_uninstalls;daily_device_upgrades;current_user_installs;total_user_installs;daily_user_installs;daily_user_uninstalls
20150112;ro_MD;1;0;0;0;1;4;0;0
20150112;ro_LV;1;0;0;0;1;1;0;0
20150112;ro_CH;0;0;0;0;0;1;0;0
20150112;rm;1;0;0;0;1;1;0;0
20150112;pt_UY;1;0;0;0;1;1;0;0
20150112;pt_US;2;0;0;0;2;7;0;0
20150112;pt_PY;0;0;0;0;0;1;0;0
20150112;pt_PT;770;8;8;0;677;1943;8;7
20150112;pt_NE;1;0;0;0;1;1;0;0
20150112;pt_MZ;1;0;0;0;1;2;0;0
20150112;pt_JP;1;0;0;0;1;1;0;0
20150112;pt_IT;0;0;0;0;0;1;0;0
20150112;pt_GB;1;1;0;0;1;1;0;0
20150112;pt_ES;1;0;0;0;1;1;0;0
20150112;pt_DE;3;0;0;0;1;1;0;0
20150112;pt_CH;1;0;0;0;1;1;0;0
20150112;pt_CA;0;0;0;0;0;1;0;0
20150112;pt_BR;11503;105;53;6;10314;27526;89;49
20150112;pt_AO;1;0;0;0;0;0;0;0
20150112;pt;2;0;0;0;2;3;0;0
20150112;pl_US;3;0;0;0;2;7;0;0
20150112;pl_SK;1;0;0;0;1;4;0;0
20150112;pl_SI;1;0;0;0;0;1;0;0
20150112;pl_RO;2;0;0;0;2;4;0;0
20150112;pl_PT;0;0;0;0;0;1;0;0
20150112;pl_PL;17752;90;37;12;15791;33595;74;35
20150112;pl_NL;0;0;0;0;0;1;0;0
20150112;pl_LT;1;0;0;0;0;0;0;0
20150112;pl_IE;2;0;0;0;2;6;0;0
20150112;pl_HU;0;0;0;0;0;2;0;0
20150112;pl_GB;30;0;0;0;24;52;0;0
20150112;pl_EE;1;0;0;0;1;2;0;0
20150112;pl_DE;8;0;0;0;5;17;0;0
20150112;pl_CZ;2;0;0;0;1;5;0;0
20150112;pl_CN;2;0;0;0;2;3;0;0
20150112;pl_BY;0;0;0;0;0;2;0;0
20150112;pl_AT;1;0;0;0;0;1;0;0
20150112;pl;11;0;0;0;9;21;0;0
20150112;no_US;2;0;0;0;2;2;0;0
20150112;no_SE;1;0;0;0;1;1;0;0
20150112;no_NO;1665;3;2;1;1407;2360;3;2
20150112;no_GB;1;0;0;0;1;1;0;0
20150112;no_DK;2;0;0;0;2;3;0;0
20150112;no_DE;1;0;0;0;1;1;0;0
20150112;no;1;0;0;0;1;2;0;0
20150112;nl_US;2;0;0;0;2;3;0;0
20150112;nl_NL;3128;31;12;2;2737;6151;30;11
20150112;nl_LU;2;0;0;0;1;12;0;0
20150112;nl_GB;0;0;0;0;0;1;0;0
20150112;nl_FR;2;0;0;0;1;6;0;0
20150112;nl_DE;3;0;0;0;2;8;0;0
20150112;nl_CZ;0;0;0;0;0;1;0;0
20150112;nl_CH;1;0;0;0;1;3;0;0
20150112;nl_BE;857;5;4;0;744;1844;3;2
20150112;nl_AT;1;0;0;0;1;1;0;0
20150112;nl;1;0;0;0;1;7;0;0
20150112;my_MM;1;0;0;0;1;1;0;0
20150112;ms_MY;10;0;0;0;6;43;0;0
20150112;mn_MN;0;0;0;0;0;2;0;0
20150112;ml_IN;1;0;0;0;0;0;0;0
20150112;mk_MK;8;0;0;0;8;24;0;0
20150112;lv_LV;104;1;0;0;95;205;1;0
20150112;lv_LT;0;0;0;0;0;1;0;0
20150112;lt_LT;288;1;0;0;270;684;1;0
20150112;lo_LA;3;0;0;0;3;4;0;0
20150112;ko_US;1;0;0;0;1;6;0;0
20150112;ko_KR;9215;87;33;5;8370;22108;77;33
20150112;ko_GB;0;0;0;0;0;1;0;0
20150112;ko_DE;0;0;0;0;0;1;0;0
20150112;ko;2;0;0;0;2;12;0;0
20150112;km_KH;0;0;0;0;0;3;0;0
20150112;kk_KZ;4;0;0;0;3;12;0;0
20150112;kk;0;0;0;0;0;1;0;0
20150112;ka_GE;4;0;0;0;4;11;0;0
20150112;jv_ID;0;0;0;0;0;1;0;0
20150112;ja_US;31;0;0;0;24;37;0;0
20150112;ja_TW;0;0;0;0;0;1;0;0
20150112;ja_SE;1;0;0;0;1;3;0;0
20150112;ja_PL;1;0;0;0;1;1;0;0
20150112;ja_LV;1;0;0;0;1;1;0;0
20150112;ja_JP;35453;112;79;27;31132;100969;91;71
20150112;ja_GB;4;0;0;0;3;9;0;0
20150112;ja_FR;1;0;0;0;1;1;0;0
20150112;ja_FI;1;0;0;0;1;1;0;0
20150112;ja_DE;2;0;0;0;2;2;0;0
20150112;ja_CN;0;0;0;0;0;1;0;0
20150112;ja_CA;6;0;0;0;6;6;0;0
20150112;ja_AU;1;0;0;0;1;1;0;0
20150112;ja_AT;1;0;0;0;1;1;0;0
20150112;ja;35;0;0;0;24;111;0;0
20150112;iw_US;1;0;0;0;1;1;0;0
20150112;iw_IS;4;0;0;0;4;10;0;0
20150112;iw_IL;610;4;3;1;563;1322;4;3
20150112;iw_GB;2;0;0;0;2;5;0;0
20150112;iw;2;0;0;0;2;6;0;0
20150112;it_US;2;0;0;0;2;2;0;0
20150112;it_IT;7425;50;36;8;6667;16617;43;36
20150112;it_GB;3;0;0;0;2;9;0;0
20150112;it_FR;4;0;0;0;3;6;0;0
20150112;it_DE;4;0;0;0;4;13;0;0
20150112;it_CH;36;0;0;0;32;67;0;0
20150112;it_AT;2;0;0;0;2;4;0;0
20150112;it_AM;1;0;0;0;1;1;0;0
20150112;it;4;0;0;0;4;10;0;0
20150112;is_IS;40;0;0;0;34;55;0;0
20150112;is;0;0;0;0;0;1;0;0
20150112;id_ID;152;0;0;0;141;548;0;0
20150112;hy_AM;1;0;0;0;1;1;0;0
20150112;hu_SK;3;0;0;0;3;10;0;0
20150112;hu_SI;0;0;0;0;0;1;0;0
20150112;hu_RO;1;0;0;0;1;4;0;0
20150112;hu_LT;0;0;0;0;0;1;0;0
20150112;hu_HU;7034;33;19;2;6342;15767;31;19
20150112;hu_HR;0;0;0;0;0;1;0;0
20150112;hu_GB;0;0;0;0;0;1;0;0
20150112;hu_DE;4;0;0;0;4;12;0;0
20150112;hu_CZ;1;0;0;0;1;1;0;0
20150112;hu_CS;0;0;0;0;0;3;0;0
20150112;hu_CA;1;0;0;0;1;2;0;0
20150112;hu_BG;0;0;0;0;0;2;0;0
20150112;hu_AT;0;0;0;0;0;2;0;0
20150112;hu;0;0;0;0;0;5;0;0
20150112;hr_MK;0;0;0;0;0;1;0;0
20150112;hr_HU;0;0;0;0;0;1;0;0
20150112;hr_HR;252;2;0;0;224;673;1;0
20150112;hr_CZ;0;0;0;0;0;4;0;0
20150112;hr_CS;1;0;0;0;1;2;0;0
20150112;hr_CA;0;0;0;0;0;1;0;0
20150112;hr_BA;0;0;0;0;0;4;0;0
20150112;hr_AT;0;0;0;0;0;1;0;0
20150112;hr;0;0;0;0;0;2;0;0
20150112;hi_IN;5;0;0;0;4;6;0;0
20150112;gl_ES;13;0;0;0;11;30;0;0
20150112;ga_US;0;0;0;0;0;1;0;0
20150112;ga_IE;8;0;0;0;7;9;0;0
20150112;fr_ZA;0;0;0;0;0;1;0;0
20150112;fr_US;15;0;0;0;12;31;0;0
20150112;fr_TN;1;0;0;0;1;8;0;0
20150112;fr_SG;0;0;0;0;0;1;0;0
20150112;fr_RU;1;0;0;0;1;1;0;0
20150112;fr_RE;2;0;0;0;2;5;0;0
20150112;fr_PL;1;0;0;0;1;1;0;0
20150112;fr_NL;3;0;0;0;2;7;0;0
20150112;fr_ML;0;0;0;0;0;1;0;0
20150112;fr_MA;0;0;0;0;0;4;0;0
20150112;fr_LU;10;0;0;0;5;26;0;0
20150112;fr_IT;2;0;0;0;1;7;0;0
20150112;fr_IE;3;0;0;0;2;12;0;0
20150112;fr_GP;2;0;0;0;2;2;0;0
20150112;fr_GB;14;0;0;0;10;45;0;0
20150112;fr_FR;16126;68;32;6;14051;28036;59;31
20150112;fr_ES;4;0;0;0;4;29;0;0
20150112;fr_DZ;0;0;0;0;0;3;0;0
20150112;fr_DE;23;0;0;0;20;40;0;0
20150112;fr_CN;0;0;0;0;0;1;0;0
20150112;fr_CI;0;0;0;0;0;2;0;0
20150112;fr_CH;924;3;2;3;784;1546;2;2
20150112;fr_CD;0;0;0;0;0;1;0;0
20150112;fr_CA;625;2;1;0;529;1192;2;1
20150112;fr_BY;1;0;0;0;1;1;0;0
20150112;fr_BR;1;0;0;0;1;1;0;0
20150112;fr_BE;393;2;1;0;356;655;1;1
20150112;fr_AT;2;0;0;0;2;8;0;0
20150112;fr_AE;0;0;0;0;0;1;0;0
20150112;fr;29;0;0;0;24;41;0;0
20150112;fil_PH;4;0;0;0;4;7;0;0
20150112;fi_US;1;0;0;0;1;1;0;0
20150112;fi_SE;2;0;0;0;2;2;0;0
20150112;fi_GB;1;0;0;0;1;1;0;0
20150112;fi_FI;1332;7;5;0;1156;2003;5;4
20150112;fa_PT;0;0;0;0;0;1;0;0
20150112;fa_IR;195;1;2;1;179;344;2;2
20150112;fa_IQ;1;0;0;0;0;3;0;0
20150112;fa_EG;1;0;0;0;1;1;0;0
20150112;fa_AE;1;0;0;0;1;2;0;0
20150112;fa;0;0;0;0;0;1;0;0
20150112;eu_ES;14;0;0;0;13;23;0;0
20150112;eu;1;0;0;0;1;1;0;0
20150112;et_EE;203;3;1;1;187;467;3;1
20150112;et;6;0;0;0;6;26;0;0
20150112;es_VE;29;1;2;1;24;109;1;2
20150112;es_UY;11;0;0;0;11;28;0;0
20150112;es_US;3249;28;18;1;2881;9183;24;19
20150112;es_SV;4;0;0;0;3;11;0;0
20150112;es_SA;0;0;0;0;0;5;0;0
20150112;es_RU;1;0;0;0;1;1;0;0
20150112;es_PY;4;0;0;0;4;10;0;0
20150112;es_PT;0;0;0;0;0;1;0;0
20150112;es_PR;0;0;0;0;0;8;0;0
20150112;es_PL;2;0;0;0;2;2;0;0
20150112;es_PE;49;0;1;0;43;121;0;1
20150112;es_PA;8;0;0;0;8;30;0;0
20150112;es_NL;0;0;0;0;0;3;0;0
20150112;es_NI;2;1;0;0;2;6;1;0
20150112;es_MX;390;4;3;0;360;1616;4;3
20150112;es_JP;1;0;0;0;1;1;0;0
20150112;es_IT;2;0;0;0;1;1;0;0
20150112;es_IE;3;0;0;0;3;3;0;0
20150112;es_HN;1;0;0;0;1;4;0;0
20150112;es_GT;11;0;0;0;8;27;0;0
20150112;es_GR;0;0;0;0;0;1;0;0
20150112;es_GB;12;0;0;0;10;31;0;0
20150112;es_FR;5;0;0;0;4;9;0;0
20150112;es_ES;10453;64;42;4;9126;22311;59;40
20150112;es_EC;10;0;0;0;8;32;0;0
20150112;es_DO;7;0;0;0;7;14;0;0
20150112;es_DE;8;0;0;0;8;15;0;0
20150112;es_CZ;1;0;0;0;1;1;0;0
20150112;es_CU;1;0;0;0;1;1;0;0
20150112;es_CR;8;0;0;0;8;35;0;0
20150112;es_CO;65;0;0;0;61;285;0;0
20150112;es_CL;59;0;0;0;51;262;0;0
20150112;es_CH;1;0;0;0;1;2;0;0
20150112;es_CA;4;0;0;0;4;14;0;0
20150112;es_BR;2;0;0;0;2;9;0;0
20150112;es_BO;30;1;0;0;28;84;1;0
20150112;es_AT;1;0;0;0;1;3;0;0
20150112;es_AR;94;0;2;0;85;368;0;2
20150112;es_419;0;0;0;0;0;1;0;0
20150112;es;24;0;0;0;17;61;0;0
20150112;en_ZW;0;0;0;0;0;3;0;0
20150112;en_ZM;0;0;0;0;0;1;0;0
20150112;en_ZA;736;5;1;0;658;1405;5;1
20150112;en_VN;42;0;0;0;41;91;0;0
20150112;en_VI;1;0;0;0;0;1;0;0
20150112;en_VE;0;0;0;0;0;1;0;0
20150112;en_US;192093;949;479;92;160955;331271;786;447
20150112;en_UA;55;1;0;0;50;119;1;0
20150112;en_TW;251;0;1;0;190;565;0;1
20150112;en_TR;22;0;0;0;17;62;0;0
20150112;en_TN;1;0;0;0;1;2;0;0
20150112;en_TH;72;0;0;0;61;148;0;0
20150112;en_SK;35;0;0;0;30;79;0;0
20150112;en_SI;9;0;0;0;7;20;0;0
20150112;en_SG;792;2;2;0;668;1557;2;1
20150112;en_SE;123;0;0;0;91;223;0;0
20150112;en_SA;12;0;0;0;11;34;0;0
20150112;en_RW;0;0;0;0;0;1;0;0
20150112;en_RU;195;0;0;1;169;362;0;0
20150112;en_RS;4;0;0;0;3;8;0;0
20150112;en_RO;32;0;0;0;26;95;0;0
20150112;en_QA;5;0;0;0;2;23;0;0
20150112;en_PY;0;0;0;0;0;1;0;0
20150112;en_PT;5;0;0;0;4;13;0;0
20150112;en_PR;0;0;0;0;0;3;0;0
20150112;en_PL;120;0;0;1;90;222;0;0
20150112;en_PK;28;0;0;0;27;113;0;0
20150112;en_PH;820;5;2;0;766;2473;4;2
20150112;en_OM;0;0;0;0;0;7;0;0
20150112;en_NZ;1612;8;2;0;1390;2998;6;2
20150112;en_NP;0;0;0;0;0;1;0;0
20150112;en_NO;90;0;0;0;70;161;0;0
20150112;en_NL;159;1;0;0;127;311;1;0
20150112;en_NG;1;0;0;0;1;9;0;0
20150112;en_MY;74;0;0;0;72;221;0;0
20150112;en_MX;6;0;0;0;5;18;0;0
20150112;en_MT;2;0;0;0;2;2;0;0
20150112;en_MN;0;0;0;0;0;1;0;0
20150112;en_MM;2;0;0;0;2;5;0;0
20150112;en_MK;3;0;0;0;2;6;0;0
20150112;en_MD;2;0;0;0;2;2;0;0
20150112;en_MA;0;0;0;0;0;2;0;0
20150112;en_LY;0;0;0;0;0;2;0;0
20150112;en_LV;19;0;0;0;15;44;0;0
20150112;en_LU;26;0;0;0;19;59;0;0
20150112;en_LT;23;0;0;0;16;52;0;0
20150112;en_LK;0;0;0;0;0;1;0;0
20150112;en_LI;0;0;0;0;0;2;0;0
20150112;en_LB;8;0;0;0;7;24;0;0
20150112;en_KZ;4;0;0;0;4;13;0;0
20150112;en_KW;4;0;0;0;4;12;0;0
20150112;en_KR;36;0;0;0;26;72;0;0
20150112;en_KN;0;0;0;0;0;1;0;0
20150112;en_KE;4;0;0;0;4;21;0;0
20150112;en_JP;163;0;0;0;114;246;0;0
20150112;en_JO;4;0;0;0;4;17;0;0
20150112;en_JM;10;0;0;0;8;13;0;0
20150112;en_IT;25;0;0;0;22;82;0;0
20150112;en_IS;0;0;0;0;0;3;0;0
20150112;en_IR;0;0;0;0;0;1;0;0
20150112;en_IQ;3;0;0;0;3;9;0;0
20150112;en_IN;920;7;8;1;840;3467;5;7
20150112;en_IL;5;0;0;0;5;14;0;0
20150112;en_IE;1307;8;3;1;1145;2424;5;3
20150112;en_ID;32;0;0;0;28;87;0;0
