# -------------------------------------------------------;;;
# App: com.ichi2.anki, date: 20141212-20150112;;;
# -------------------------------------------------------;;;
;;;
date;device;daily_crashes;daily_anrs
20150110;Sony Xperia Z3 Tablet Compact (SGP621);1;0
20150110;Lenovo Mobile Lenovo S660 (S660);1;0
20150110;Gigabyte Prestigio PMT5587_Wi (AML8726-MXS);1;0
20150109;LGE L90 (w7n);1;0
20150109;LGE LG Optimus L7 II (vee7e);1;0
20150109;HTC HTC Desire X (protou);1;0
20150109;HTC Wildfire S (marvel);1;0
20150109;Samsung Galaxy Ace3 (loganrelte);1;0
20150109;Samsung Galaxy S5 Mini (kminilte);1;0
20150109;Samsung Galaxy S4 (jflte);1;0
20150109;Google Nexus 5 (hammerhead);1;0
20150109;Motorola Droid X (cdma_shadow);1;0
20150109;Sony Ericsson Xperia A (SO-04E);1;0
20150109;Sony Xperia Z3 Tablet Compact (SGP621);1;0
20150109;Sony Ericsson Xperia M2 (D2303);1;0
20150109;A97-01;1;0
20150108;HTC HTC Desire 500 (z4u);1;0
20150108;Motorola MOTO G (titan_umts);1;0
20150108;Samsung Galaxy Tab4 10.1 (matissewifiue);1;0
20150108;Samsung Galaxy Trend (kyleve);1;0
20150108;Samsung Galaxy Note3 Neo (hl3gds);1;0
20150108;Google Nexus 5 (hammerhead);1;0
20150108;LGE LG Optimus G (geehrc);1;0
20150108;Google Nexus 7 (flo);1;0
20150108;Motorola Moto G (falcon_cdma);1;0
20150108;LGE Optimus F6 (f6);1;0
20150108;HTC HTC One X+ (enrc2b);1;0
20150108;HTC Desire (bravo);1;0
20150108;Samsung Galaxy Core Safe (arubaslimss);1;0
20150108;Samsung Galaxy Tab (GT-P1000);1;0
20150108;Symphony Teleca OnePlus One (A0001);1;0
20150107;wiko;1;0
20150107;Samsung Galaxy Tab3 10.1 (santos10wifi);1;0
20150107;HTC Sensation 4G (pyramid);1;0
20150107;Google Nexus 4 (mako);1;0
20150107;Samsung Galaxy S5 (kltetmo);1;0
